Arise	;	…	;	Arisen	;	Подниматься	;	Arosen	;	Arose	;	Arise	;	1	;
…	;	Arose	;	Arisen	;	Подниматься	;	Arais	;	Arosen	;	Arise	;	2	;
Arise	;	Arose	;	…	;	Подниматься	;	Arose	;	Arisen	;	Aris	;	1	;
Arise	;	Arose	;	Arisen	;	Подниматься	;	Подниматься	;	Просыпаться	;	Пропиваться	;	0	;
…	;	Awoke	;	Awoken	;	Будить	;	Awake	;	Awoke	;	Awaik	;	0	;
Awake	;	…	;	Awoken	;	Будить	;	Awoke	;	Awoken	;	Awaiken	;	0	;
Awake	;	Awoke	;	…	;	Будить	;	Awoke	;	Awoked	;	Awoken	;	2	;
Awake	;	Awoke	;	Awoken	;	…	;	Бурить	;	Будить	;	Бобмить	;	1	;
…	;	Was (were)	;	Been	;	Быть	;	Be	;	Bee	;	Bi	;	0	;
Be	;	…	;	Been	;	Быть	;	Wass (were)	;	Was (were)	;	Was (been)	;	1	;
Be	;	Was (were)	;	…	;	Быть	;	Was	;	Been	;	Bean	;	1	;
Be	;	Was (were)	;	Been	;	…	;	Быть	;	Мыть	;	Жить	;	0	;
…	;	Bore	;	Born	;	Нести, рожать	;	Beare	;	Bore	;	Bear	;	2	;
Bear	;	…	;	Born	;	Нести, рожать	;	Beare	;	Bore	;	Bear	;	1	;
Bear	;	Bore	;	…	;	Нести, рожать	;	Born	;	Bore	;	Bear	;	0	;
Bear	;	Bore	;	Born	;	…	;	Нести, рожать	;	Цвести	;	Копать	;	0	;
…	;	Beat	;	Beaten	;	Бить	;	Beat	;	Beet	;	Beate	;	0	;
Beat	;	…	;	Beaten	;	Бить	;	Beet	;	Beat	;	Beate	;	1	;
Beat	;	Beat	;	…	;	Бить	;	Beat	;	Beaten	;	Beate	;	1	;
Beat	;	Beat	;	Beaten	;	…	;	Бить	;	Пить	;	Курить	;	0	;
…	;	Became	;	Become	;	Становиться	;	Becamen	;	Became	;	Become	;	2	;
Become	;	…	;	Become	;	Становиться	;	Become	;	Became	;	Bicame	;	1	;
Become	;	Became	;	…	;	Становиться	;	Become	;	Became	;	Becamen	;	0	;
Become	;	Became	;	Become	;	…	;	Остановиться	;	Становиться	;	Полечится	;	1	;
…	;	Began	;	Begun	;	Начинать	;	Begin	;	Began	;	Begine	;	0	;
Begin	;	…	;	Begun	;	Начинать	;	Began	;	Begin	;	Begane	;	0	;
Begin	;	Began	;	…	;	Начинать	;	Began	;	Begane	;	Begun	;	2	;
Begin	;	Began	;	Begun	;	…	;	Натирать	;	Назначать	;	Начинать	;	2	;
…	;	Bent	;	Bent	;	Гнуть	;	Beand	;	Bent	;	Bend	;	2	;
Bend	;	…	;	Bent	;	Гнуть	;	Beand	;	Bent	;	Bend	;	1	;
Bend	;	Bent	;	…	;	Гнуть	;	Beand	;	Bent	;	Bend	;	1	;
Bend	;	Bent	;	Bent	;	Гнуть	;	Пинать	;	Гонять	;	Гнуть	;	2	;
…	;	Bet	;	Bet	;	Держать пари	;	Bet	;	Beat	;	Beaten	;	0	;
Bet	;	…	;	Bet	;	Держать пари	;	Beaten	;	Bet	;	Beten	;	1	;
Bet	;	Bet	;	…	;	Держать пари	;	Beaten	;	Bet	;	Beten	;	1	;
Bet	;	Bet	;	Bet	;	…	;	Держать пари	;	Держать стойку	;	Держать мысль	;	0	;
…	;	Bound	;	Bound	;	Связывать	;	Bond	;	Bound	;	Bind	;	2	;
Bind	;	…	;	Bound	;	Связывать	;	Bound	;	Bond	;	Bint	;	0	;
Bind	;	Bound	;	…	;	Связывать	;	Binden	;	Bond	;	Bound	;	2	;
Bind	;	Bound	;	Bound	;	…	;	Отвязывать	;	Навязывать	;	Связывать	;	2	;
Bite	;	Bit	;	Bitten	;	Кусаться	;	Bite	;	Bait	;	Bit	;	0	;
Bite	;	Bit	;	Bitten	;	Кусаться	;	Bitten	;	Bait	;	Bit	;	2	;
Bite	;	Bit	;	Bitten	;	Кусаться	;	Bitten	;	Bait	;	Bite	;	0	;
Bite	;	Bit	;	Bitten	;	Кусаться	;	Рычать	;	Кусаться	;	Кричать	;	1	;
…	;	Bled	;	Bled	;	Кровоточить	;	Bleed	;	Bled	;	Blead	;	0	;
Bleed	;	…	;	Bled	;	Кровоточить	;	Bleed	;	Bled	;	Blead	;	1	;
Bleed	;	Bled	;	…	;	Кровоточить	;	Bleden	;	Bled	;	Blead	;	1	;
Bleed	;	Bled	;	Bled	;	…	;	Мыть	;	Кровоточить	;	Плыть	;	1	;
Blow	;	Blew	;	Blown	;	Дуть	;	Bloow	;	Blew	;	Blow	;	2	;
Blow	;	Blew	;	Blown	;	Дуть	;	Bloow	;	Blown	;	Blew	;	2	;
Blow	;	Blew	;	Blown	;	Дуть	;	Blown	;	Blow	;	Blew	;	0	;
Blow	;	Blew	;	Blown	;	Дуть	;	Дуть	;	Мыть	;	Плыть	;	0	;
…	;	Bred	;	Bred	;	Размножаться	;	Breed	;	Bred	;	Bread	;	0	;
Breed	;	…	;	Bred	;	Размножаться	;	Bred	;	Breed	;	Bread	;	1	;
Breed	;	Bred	;	…	;	Размножаться	;	Bred	;	Breeden	;	Bread	;	1	;
